iter	RMSE
0	76.08704534
1	75.21964028
2	74.36843107
3	73.52071906
4	72.68224776
5	71.85438671
6	71.03804127
7	70.23162634
8	69.43927377
9	68.65656421
10	67.88292666
11	67.11900825
12	66.366953
13	65.62114195
14	64.88590583
15	64.15920476
16	63.44290556
17	62.73690977
18	62.03902583
19	61.35024216
20	60.66968086
21	59.9966011
22	59.33680619
23	58.67970979
24	58.03206205
25	57.39495724
26	56.76564745
27	56.14568823
28	55.53069051
29	54.92490654
30	54.32365039
31	53.73360214
32	53.15011391
33	52.57675837
34	52.0110316
35	51.45117
36	50.89804229
37	50.35471651
38	49.81383138
39	49.28086069
40	48.75665404
41	48.23878017
42	47.73165438
43	47.22698535
44	46.72981584
45	46.237137
46	45.75356136
47	45.27441461
48	44.80151664
49	44.33546363
50	43.87857392
51	43.42536803
52	42.97972766
53	42.5418633
54	42.10701235
55	41.6796095
56	41.25638205
57	40.83995111
58	40.4289481
59	40.02420337
60	39.62211343
61	39.22777282
62	38.83845138
63	38.4563448
64	38.07846016
65	37.70285001
66	37.33580222
67	36.97484092
68	36.61916816
69	36.26823021
70	35.92017508
71	35.57734229
72	35.24016862
73	34.90697475
74	34.58049949
75	34.25719975
76	33.93927124
77	33.62465307
78	33.31468429
79	33.01099518
80	32.70931356
81	32.41339825
82	32.12241517
83	31.83471756
84	31.54931399
85	31.26915389
86	30.99432263
87	30.72065996
88	30.45323698
89	30.19022439
90	29.9331597
91	29.67778439
92	29.42453661
93	29.17742474
94	28.93368434
95	28.69413273
96	28.456854
97	28.22504099
98	27.99451508
99	27.76774772
100	27.54531555
101	27.32583469
102	27.11028729
103	26.89876646
104	26.68938421
105	26.48480488
106	26.28202929
107	26.08261612
108	25.88597688
109	25.69124239
110	25.50093542
111	25.31504479
112	25.13185578
113	24.95175265
114	24.77399429
115	24.60099496
116	24.42869266
117	24.26030151
118	24.09379266
119	23.92953578
120	23.76781658
121	23.60939291
122	23.45387744
123	23.30074079
124	23.14832285
125	22.99963336
126	22.85227018
127	22.7091527
128	22.56955292
129	22.43066132
130	22.29433302
131	22.16094189
132	22.02942412
133	21.89874262
134	21.77108434
135	21.64740195
136	21.52393729
137	21.40336109
138	21.28522412
139	21.16988331
140	21.05539665
141	20.94365569
142	20.83292925
143	20.72553616
144	20.6198004
145	20.51625377
146	20.41492479
147	20.31551304
148	20.21731566
149	20.12080515
150	20.02545921
151	19.93237825
152	19.84047874
153	19.75112025
154	19.6636215
155	19.57671724
156	19.49264234
157	19.40918643
158	19.32729929
159	19.24709225
160	19.16945016
161	19.09258451
162	19.01774208
163	18.94352921
164	18.86981601
165	18.79846807
166	18.72844675
167	18.6601153
168	18.59341117
169	18.52705346
170	18.46229225
171	18.39931437
172	18.33658827
173	18.27587044
174	18.21669191
175	18.15864791
176	18.10158681
177	18.04489497
178	17.99065475
179	17.93662462
180	17.88387661
181	17.83258568
182	17.78159046
183	17.73222628
184	17.68411844
185	17.6357163
186	17.58919425
187	17.54330163
188	17.49841049
189	17.4544586
190	17.41118526
191	17.36908906
192	17.32771003
